phase,model,run,attempts_total,non_submitted_total,infra_non_submitted,infra_share_of_attempts,infra_share_of_non_submitted,rerun_signal
phase4-refactoring,codestral-2501,1,300,73,0,0.0000,0.0000,green
phase4-refactoring,codestral-2501,2,300,71,0,0.0000,0.0000,green
phase4-refactoring,codestral-2501,3,300,73,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-mini,1,277,68,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-mini,2,286,68,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-mini,3,283,68,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-nano,1,268,80,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-nano,2,266,76,0,0.0000,0.0000,green
phase4-refactoring,gpt-4.1-nano,3,258,83,0,0.0000,0.0000,green
phase4-refactoring,grok-4-1-fast,1,300,69,0,0.0000,0.0000,green
phase4-refactoring,grok-4-1-fast,2,300,69,0,0.0000,0.0000,green
phase4-refactoring,grok-4-1-fast,3,300,70,0,0.0000,0.0000,green
phase4-refactoring,llama-3.3-70b-instruct,1,300,68,0,0.0000,0.0000,green
phase4-refactoring,llama-3.3-70b-instruct,2,300,68,0,0.0000,0.0000,green
phase4-refactoring,llama-3.3-70b-instruct,3,300,68,0,0.0000,0.0000,green
phase4-refactoring,phi-4,1,300,74,0,0.0000,0.0000,green
phase4-refactoring,phi-4,2,300,75,0,0.0000,0.0000,green
phase4-refactoring,phi-4,3,300,72,0,0.0000,0.0000,green
